arabic,translit,translation,category
السلام عليكم,as-salamu alaykum,Peace be upon you,religious
وعليكم السلام,wa-alaykum as-salam,And upon you peace (reply),religious
السلام عليكم ورحمة الله وبركاته,as-salamu alaykum wa-rahmatu-llahi wa-barakatuh,Peace upon you and God's mercy and blessings,religious
مرحبا,marhaban,Hello,casual
أهلا,ahlan,Hi / Welcome,casual
أهلا وسهلا,ahlan wa-sahlan,Warm welcome,casual
أهلا بك,ahlan bika,Welcome to you (m),casual
أهلا بكِ,ahlan biki,Welcome to you (f),casual
هلا,hala,Hey,casual
صباح الخير,sabah al-khayr,Good morning,time
صباح النور,sabah an-nur,Morning of light (reply),time
مساء الخير,masa al-khayr,Good evening,time
مساء النور,masa an-nur,Evening of light (reply),time
تصبح على خير,tusbih ala khayr,Good night,time
ليلة سعيدة,layla saida,Goodnight (lit. happy night),time
كيف حالك,kayfa haluk,How are you? (MSA),how_are_you
كيف حالكِ,kayfa haluki,How are you? (f MSA),how_are_you
كيفك,kifak,How are you? (m Levantine),how_are_you
كيفِك,kifik,How are you? (f Levantine),how_are_you
شلونك,shlonak,How are you? (m Iraqi/Gulf),how_are_you
شلونِك,shlonik,How are you? (f Iraqi/Gulf),how_are_you
إزيك,izzayyak,How are you? (m Egyptian),how_are_you
إزيِك,izzayyik,How are you? (f Egyptian),how_are_you
بخير,bi-khayr,Fine / well,response
الحمد لله,al-hamdu li-llah,Praise be to God (typical reply to how are you),response
تمام,tamam,Fine / OK,response
كل شيء تمام,kull shay tamam,Everything's fine,response
ما اسمك,ma ismuk,What's your name? (m),question
ما اسمكِ,ma ismuki,What's your name? (f),question
اسمي,ismi,My name is...,question
تشرفنا,tasharrafna,Pleased to meet you,polite
فرصة سعيدة,fursa saida,Pleasure (to meet you),polite
شكرا,shukran,Thank you,polite
عفوا,afwan,You're welcome / excuse me,polite
من فضلك,min fadlik,Please (m),polite
من فضلكِ,min fadliki,Please (f),polite
لو سمحت,law samaht,If you would (please m),polite
مع السلامة,maa as-salama,Goodbye (lit. with safety),farewell
إلى اللقاء,ila al-liqa,Until we meet again,farewell
وداعا,wadaan,Farewell,farewell
في أمان الله,fi aman illah,In God's protection (goodbye),farewell
يلا باي,yalla bay,Bye (casual loan),farewell
إن شاء الله,in sha Allah,God willing,phrase
ما شاء الله,ma sha Allah,What God has willed (expressing admiration),phrase
بسم الله,bismillah,In the name of God,phrase
الله يعطيك العافية,allah yatik al-afya,May God give you health,phrase
